product_name,product_type,price_clean,clean_ingreds,acne_ingredients_present,acne_ingredient_count,acne_types,acne_types_str
The Ordinary Vitamin C Suspension Cream 30% in Silicone 30ml,Moisturiser,6.1,"['dimethicon', 'ascorbic acid', 'polysilicone-11', 'dimethicon']",['ascorbic acid'],1,['Pigmentation'],Pigmentation
La Roche-Posay Toleriane Sensitive Moisturiser 40ml,Moisturiser,16.5,"['capric triglyceride', 'glycerin', 'propanediol', 'pentylene glycol', 'niacinamide', 'ammonium polyacryloyldmethyl taurate', 'caprylyl glycol', 'citric acid', 'xanthan gum']",['niacinamide'],1,"['Inflammatory', 'Pigmentation']","Inflammatory, Pigmentation"
Caudalie Vinoperfect Dark Spot Correcting Glycolic Night Cream 50ml,Moisturiser,34.0,"['butylene glycol', 'glycerin', 'cetearyl alcohol', 'coco-caprylate', 'glyceryl stearate se', 'butyrospermum parkii', 'capric triglyceride', 'vitis vinifera extract', 'hydrogenated olus oil', 'triheptanoin', 'potassium cetyl phosphate', 'panthenol', 'squalene', 'glycolic acid', 'palmitoyl grapevine extract', 'cetearyl glucoside', 'bisabolol', 'sodium hyaluronate', 'tocopheryl acetate', 'acacia senegal gum', 'xanthan gum', 'caprylyl glycol', 'cassia angustifolia seed polysaccharide', 'papain', 'tocopherol', 'arganine', 'benzyl alcohol', 'dehydroacetic acid', 'carbomer', '1,2-hexanediol', 'algin', 'sodium hydroxide', 'sodium phytate', 'parfum', 'geraniol', 'limonene', 'linalool']",['glycolic acid'],1,['Comedonal'],Comedonal
Estée Lauder Revitalising Supreme + Global Anti-ageing Cell Power Crème 30ml,Moisturiser,44.1,"['dimethicon', 'glycerin', 'isohexadecane', 'butylene glycol', 'bis-peg-18 methyl ether dimethyl', 'dimethicon', 'disteardimonium hectorite', 'pentylene glycol', 'cucumis sativus extract', 'narcissus tazetta bulb extract', 'magnolia officinalis bark extract', 'hordeum vulgare extract', 'sigesbeckia orientalis extract', 'lens esculenta (lentil) fruit extract', 'pyrus malus flower extract', 'whey protein', 'citrullus lanatus fruit extract', 'moringa oleifera seed oil', 'laminaria digitata extract', 'triticum vulgare bran extract', 'opuntia tuna extract', 'acetyl hexapeptide-8', 'sorbitol', 'helianthus annuus seed oil', 'caffeinee', 'algae extract', 'sodium hyaluronate', 'sodium lactate', 'squalene', 'polysilicone-11', 'isododecane', 'tocopheryl acetate', 'sucrose', 'acetyl glucosamine', 'polyethylene', 'propylene carbonate', 'citric acid', 'peg-32', 'propylene glycol dicoco-caprylate', 'peg-6', 'isoceteth-20', 'sodium dehydroacetate', 'aminopropyl ascorbyl phosphate', 'parfum', 'sodium pca', 'sodium citrate', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 77491']",['caffeine'],1,['Dark Circles'],Dark Circles
Elizabeth Arden Visible Difference Refining Moisture Cream (75ml),Moisturiser,30.0,"['glycerin', 'squalene', 'cetearyl alcohol', 'polysorbate 60', 'isopropyl myristate', 'cera alba', 'olea europaea fruit oil', 'retinyl palmitate', 'allantoin', 'panthenol', 'laureth-7', 'c13-14 isoparaffin', 'polyacrylamide', 'sodium hydroxide', 'disodium edta', 'parfum', 'benzyl benzoate', 'geraniol', 'hexyl cinnamal', 'hydroxycitronellal', 'limonene', 'linalool', 'methylisothiazolinone', 'methylparaben']",['retinyl palmitate'],1,['General'],General
L'Oréal Paris Dermo Expertise Triple Active Hydrating Night Moisturiser (50ml),Moisturiser,7.49,"['hydrogenated polyisobutene', 'dimethicon', 'glycerin', 'paraffinum liquidum', 'cetyl alcohol', 'peg-100 stearate', 'glyceryl stearate', 'oryza sativa bran', 'zea mays oil', 'hydroxyethylpiperazine ethane sulfonic acid', 'microcrystalline wax', 'paraffin', 'sesamium indicum seed oil', 'sorbitan tristearate', 'isohexadecane', 'bifida ferment lysate', 'ascorbyl glucoside', 'hydroxypalmitoyl sphinganine', 'citric acid', 'triticum vulgare bran extract', 'panthenol', 'polysorbate 80', 'acrylamide/sodium', 'retinyl palmitate', 'pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', 'sodium benzoate', 'phenoxyethanol', 'chlorhexidine digluconate', 'ci 14700', 'alpha-isomethyl ionone', 'limonene', 'hydroxyisohexyl 3-cyclohexene', 'butylphenyl methylpropional', 'benzyl alcohol', 'benzyl benzoate', 'benzyl salicylate', 'parfum']",['retinyl palmitate'],1,['General'],General
Fade Out ADVANCED Even Skin Tone Night Cream 50ml,Moisturiser,9.99,"['sodium lactate', 'c12-15', 'lactic acid', 'dimethicon', 'glyceryl stearate', 'peg-100 stearate', 'cetearyl alcohol', 'glycerin', 'stearyl alcohol', 'hexylene glycol', 'niacinamide', 'ceteareth 20', 'phenoxyethanol', 'inulin', 'rosa canina flower oil', 'parfum', 'sodium saccharin', 'panthenol', 'tocopheryl acetate', 'plukenetia volubilis oil', 'ethylhexyl glycerin', 'alpha-glucan oligosaccharide', 'arbutin', 'morus nigra extract', 'glycyrrhiza glabra root extract', 'disodium edta', 'glyceryl oleate', 'tocopherol', 'ascorbyl palmitate', 'ascorbic acid', 'citric acid', 'citronellol', 'linalool', 'hydroxyisohexyl 3-cyclohexene']","['niacinamide', 'lactic acid', 'ascorbic acid']",3,"['Comedonal', 'Inflammatory', 'Pigmentation']","Comedonal, Inflammatory, Pigmentation"
Clinique Moisture Surge Intense Skin Fortifying Hydrator 50ml,Moisturiser,37.0,"['cyclopentasiloxane', 'glycerin', 'butylene glycol', 'dimethicon', 'cetyl ethylhexanoate', 'squalene', 'disteardimonium hectorite', 'dimethicon', 'lauryl peg-9', 'ahnfeltia concinna extract', 'olea europaea fruit oil', 'caffeinee', 'whey protein', 'cholesterol', 'sodium hyaluronate', 'petrolatum', 'peg-150', 'sucrose', 'pyridoxine dipalmitate', 'linoleic acid', 'tocopheryl acetate', 'citric acid', 'polysilicone-11', 'propylene carbonate', 'glyceryl polymethacrylate', 'peg-8', 'aloe barbadenis extract', 'triticum vulgare bran extract', 'pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', 'palmitoyl hexapeptide-12', 'sodium citrate', 'sodium hexametaphosphate', 'chlorphenesin', 'phenoxyethanol']",['caffeine'],1,['Dark Circles'],Dark Circles
Clinique Moisture Surge 72-Hour Auto Replenishing Hydrator 30ml,Moisturiser,25.0,"['dimethicon', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate/vp', 'hydroxyethyl urea', 'camellia sinensis extract', 'silybum marianum extract', 'betula alba bark extract', 'saccharomyces lysate extract', 'aloe barbadenis extract', 'thermus thermophillus ferment', 'caffeinee', 'sorbitol', 'palmitoyl hexapeptide-12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth-10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates/c10-30 alkyl', 'glyceryl polymethacrylate', 'tromethamine', 'peg-8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'red 4', 'yellow 5']",['caffeine'],1,['Dark Circles'],Dark Circles
Murad Hydro-Dynamic™ Ultimate Moisture (50ml),Moisturiser,60.0,"['c12-15', 'capric triglyceride', 'glycerin', 'helianthus annuus seed oil', 'butylene glycol', 'glyceryl stearate', 'glyceryl behenate/eicosadioate', 'dicaprylyl carbonate', 'butyrospermum parkii', 'cetearyl alcohol', 'myristyl myristate', 'cetyl alcohol', 'ethoxydiglycol', 'phenyl trimethicone', 'stearic acid', 'avena sativa kernel extract', 'faex extract', 'algae extract', 'glycine soja extract', 'zea mays starch', 'olea europaea fruit oil', 'persea gratissima oil', 'sodium hyaluronate', 'dipotassium glycyrrhizate', 'tetrahexyldecyl ascorbate', 'tocopheryl acetate', 'linoleic acid', 'phospholipid', 'polysorbate 60', 'acrylamide/sodium', 'isohexadecane', 'glyceryl polymethacrylate', 'panthenol', 'simmondsia chinensis leaf extract', 'potassium jojobate', 'polysorbate 80', 'urea', 'glucosamine hcl', 'peg-8', 'bisabolol', 'sorbitan oleate', 'cetearyl methicone', 'dimethicon', 'palmitoyl oligopeptide', 'retinyl palmitate', 'allantoin', 'xanthan gum', 'disodium edta', 'bht', 'ethylhexyl glycerin', 'chlorphenesin', 'phenoxyethanol']",['retinyl palmitate'],1,['General'],General
Clinique Redness Solutions Daily Relief Cream 50ml,Moisturiser,42.0,"['dimethicon', 'butyrospermum parkii', 'cetearyl alcohol', 'hydrogenated polyisobutene', 'trisiloxane', 'butylene glycol', 'glycerin', 'sucrose', 'isostearyl palmitate', 'peg-100 stearate', 'camellia sinensis extract', 'polygonum cuspidatum root extract', 'hordeum vulgare extract', 'triticum vulgare bran extract', 'cetearyl glucoside', 'camellia sinensis extract', 'aspalathus linearis leaf extract', 'saccharomyces lysate extract', 'ascophyllum nodosum extract', 'asparagopsis armata extract', 'camellia sinensis extract', 'algae extract', 'caffeinee', 'lactobacillus', 'sodium lauroyl', 'hydrogenated lecithin', 'polyethylene', 'glyceryl stearate', 'salicylic acid', 'sorbitol', 'methyl glucose sesquistearate', 'cholesterol', 'linoleic acid', 'glycine', 'inulin', 'tromethamine', 'decarboxy carnosine hcl', 'phytosphingosine', 'cetyl alcohol', 'tocopheryl acetate', 'bisabolol', 'squalene', 'hdi/trimethylol hexyllactone crosspolymer', 'behenyl alcohol', 'sodium hyaluronate', 'carbomer', 'silica', 'disodium edta', 'potassium sorbate', 'phenoxyethanol', 'ci 42090', 'ci 19140', 'ci 77289', 'titanium dioxide', 'ci 77019']","['salicylic acid', 'caffeine']",2,"['Comedonal', 'Dark Circles']","Comedonal, Dark Circles"
